labelId,labelName,status,websiteUrl,producer,hasSpecialization,hasCountry
2,nuclear blast,active,http://www.nuclearblast.de/en/shop/index.html,"[213, 526, 19701, 5058, 3540421968, 3540380224, 3540385895, 331, 3540459673, 12, 3540373219, 3540325827, 3540433441, 1952, 504, 3540392394, 59352, 3540369823, 3, 3540378459, 1347, 692, 14, 91003, 122600, 3540283283, 75454, 3540413206, 246, 3540539243, 3540431252, 179, 4988, 114, 916, 2907, 5494, 3540397829, 2530, 69, 26385, 122, 4220, 170, 3540525374, 13991, 53941, 104, 11613, 334, 23401, 3540255104, 189, 1214, 113185, 3540440740, 374, 3540366173, 3540382449, 3540456786, 3540441974, 3540489866, 7162, 3540452223, 201, 103951, 378, 3540477251, 96, 3540502540, 194, 75, 11, 3540310455, 3540480465, 3540465482, 887, 3540375987, 3540380735, 17431, 157, 59, 3540368128, 3540341228, 3540391390, 167, 335, 3540452613, 3540403851, 3540328348, 3540521851, 424, 3540401278, 3540410582, 7477, 151, 115052, 3540552432, 39, 3540455151]",[],5
3,metal blade records,active,https://www.metalblade.com/,"[3540465014, 327, 3540261016, 150, 1314, 537, 3049, 3540333391, 280, 249, 3540531636, 2711, 3540285286, 50099, 3540372509, 5356, 3540268475, 18824, 186, 3540548404, 2840, 3540461097, 1332, 3540299757, 561, 7130, 3540399212, 3540349334, 4717, 3540383275, 3540406041, 6139, 3540398219, 3227, 18565, 3540440643, 3540334634, 1116, 135, 3540390446, 277, 1662, 3540263931, 4007, 3540353343, 3540363246, 3540374082, 3540364866, 3540403734, 332, 3540521376, 1929, 85261, 1529, 604, 3540311847, 3540392749, 3070, 2381, 3540525115, 941, 3540318967, 3540323213, 2750, 3540518618, 3540277428, 624, 53619, 36723, 3540408017, 97949, 3540319754, 42638, 14986, 9390, 1562, 3540372631, 57499, 3075, 255, 3540463475, 73370, 30905, 3540402405, 1544, 3540516359, 3540376439, 3540420355, 182, 3540411369, 46617, 893, 3540257571, 3540393672, 3540359345, 21035, 3540388996, 3540338779, 3540325606, 9919]","['heavy metal', 'extreme metal']",1
4,century media records,active,http://www.centurymedia.com,"[8571, 532, 13281, 10, 641, 43, 3540418243, 3540294014, 3540442691, 35773, 3540374488, 3540386765, 3540368063, 3540462574, 629, 3221, 9547, 1263, 117, 3540481505, 3540350189, 669, 8, 1455, 3540338204, 1480, 1162, 3540427842, 3540363716, 1624, 102342, 95, 3540478511, 3540450365, 3540352632, 1020, 3540276903, 34723, 3010, 113436, 110941, 3540332706, 3540255740, 3540492268, 2332, 3540261257, 3540441507, 3540483079, 197, 124, 3540513913, 386, 3540548219, 67, 3540418825, 3540265816, 2417, 89, 618, 219, 1350, 3540358741, 3306, 3540375116, 2309, 3540522592, 3540520557, 340, 10268, 908, 343, 3540456407, 3540454964, 108948, 3540444626, 3540331659, 3540345218, 3213, 3540471134, 3540287776, 3803, 3540407539, 3540470681, 3540490072, 57850, 12613, 85, 3540429634, 3540422969, 39589, 3540303132, 3540452426, 3034, 5269, 3540492833, 3540496210, 3540351959, 3540398958, 3540446375, 115]",['doom metal with various influences'],5
5,roadrunner records,active,http://store.roadrunnerrecords.com/,"[3540315870, 18351, 1398, 3540345690, 6795]","['rock with doom metal', 'black metal with punk', 'metal']",1
6,massacre records,active,https://massacre-records.com/,"[60323, 3540323602, 3540299671, 2529, 1923, 68929, 3540389540, 3540378293, 28, 41579, 2060, 124484, 642, 3838, 5387, 646, 647, 3540386232, 846, 3540488651, 3540424876, 3540527294, 3540534915, 102620, 3540386023, 3730, 109616, 3540496506, 557, 3540412635, 86728, 102139, 3540497220, 3540330807, 2359, 46375, 81077, 768, 421, 3540289329, 16738, 9668, 9, 18031, 1849, 1423, 1459, 4921, 3540342278, 15105, 3540390229, 3540258713, 3540334570, 3540416232, 122737, 3540352515, 32640, 3540275845, 19002, 3540354988, 2362, 50461, 3540330610, 3540318112, 2392, 3540450102, 3540326294, 3540305502, 3540502443, 3540282087, 94638, 333, 1080, 30749, 1103, 8051, 518, 3540407988, 3540485347, 3540498172, 3540442729, 2584, 3540314837, 3540315321, 3540259697, 3540453955, 3540474939, 10214, 6140, 20610, 26747, 3540358820, 5500, 101867, 3540453603, 142, 4654, 3540345615, 2031, 3540303843]","['death metal', 'black metal', 'heavy metal', 'power metal', 'gothic metal']",5
7,emi,active,http://emimusic.com/,"[59072, 52303, 102138, 3540412343, 3540255773, 3540313136, 4887, 2150]",['rock with doom metal'],3
8,relapse records,active,https://store.relapse.com/,"[33709, 3540257427, 3540453905, 4647, 63075, 3540287570, 3540333368, 72170, 3540333251, 3540326032, 15620, 4223, 910, 18728, 3540326062, 97661, 21444, 3540391015, 981, 3540418633, 818, 3540551390, 45, 3540501860, 143, 3540429319, 3540436354, 3540538027, 1249, 15036, 3540374881, 3540288511, 3540392674, 2556, 108385, 1523, 3540265815, 3540312762, 885, 31536, 3540386323, 128583, 3540344841, 5663, 3540363260, 3540426825, 3540423615, 119696, 3540341055, 3540469330, 3540332243, 3540294181, 3540335427, 28564, 3540379026, 3540324896, 3540386032, 3540364613, 165, 3540359937, 799, 3540430511, 3540509020, 3540357063, 315, 96000, 1120, 3540438873, 9299, 113886, 820, 3540416533, 3540364788, 2169, 3540377850, 8520, 3540467208, 50395, 3540327371, 3540313433, 35741, 3540377081, 10929]","['death metal', 'sludge metal', 'stoner metal', 'post-metal', 'death metal with grindcore']",1
10,spv gmbh,active,https://web.archive.org/web/20111127152744/http://www.10footreach.com/,"[2786, 28149, 3540471830]",[],5
11,warner bros. records,changed name,http://www.warnerbrosrecords.com/,[78458],['rock with doom metal'],1
12,napalm records,active,https://shop.napalmrecords.com/,"[3540429542, 3540396156, 198, 3540465744, 3540375286, 3540334458, 412, 35791, 116989, 102093, 3540518908, 20825, 3540505610, 3540258437, 431, 89033, 8508, 233, 3540355453, 3540430977, 19348, 3540325883, 3540420779, 34, 71788, 3540355146, 3540473071, 24, 98165, 3540486250, 3407, 5413, 3540529648, 17682, 3540510979, 10897, 155, 96618, 3540288705, 3540522057, 3540534931, 3666, 2289, 3540382426, 307, 3540391659, 1388, 3540294192, 34007, 3540283566, 3540537382, 173, 3540470153, 3540440007, 3540436490, 3540361647, 3540293328, 3540310947, 3540404377, 3540345777, 3540395840, 17850, 3540385587, 3540490539, 185, 3540423318, 36355, 166, 26148, 6, 3540470165, 111286, 3540258296, 3540495587, 3540469604, 3540308785, 3540424647, 53063, 3540373969, 3540456472, 7284, 9118, 985, 3540529796, 3540418193, 103283, 21147, 1603, 61, 3540301363, 3540308182, 4083, 110801, 3540261755, 17035, 3540350698, 139, 3540289789, 80, 12779]","['symphonic metal', 'gothic metal', 'black metal', 'folk metal']",30
13,earache records,active,http://www.earache.com/,"[8459, 3540395927, 3540531110, 3540265080, 98160, 1022, 3540539990, 55793, 3540328027, 3540285169]","['death metal', 'thrash metal', 'death metal with grindcore', 'industrial metal', 'heavy metal with deathcore influences']",3
14,spinefarm records,active,http://www.spinefarmrecords.com/,"[52673, 64, 6406, 36285, 8998, 3540389551, 21736, 3207, 16722, 32199, 3540389872, 3540360279, 21687, 128]","['heavy metal', 'extreme metal', 'death metal with hardcore', 'death metal with progressive rock influences']",35
15,steamhammer,active,https://shop.steamhammer.de/,"[3540362069, 1746, 5120, 1638, 7765, 3540363120, 3540336425, 1232, 3540450339, 603, 3540358158, 1617, 3377, 27900, 712, 3540475487, 1539, 3089, 1935, 123003, 1253, 1209, 900, 1996, 53178, 306, 3540407360, 193, 3540323205, 419, 1764, 3540426583, 3540407661, 1499, 3540281457, 3540443607, 11687, 1832, 678, 105, 1692]","['heavy metal', 'thrash metal']",5
16,atlantic records,active,http://www.atlanticrecords.com,"[3540263980, 1447]",[],1
17,afm records,active,http://www.afm-records.de,"[3540532829, 542, 3540384434, 1545, 3540369803, 54764, 80754, 313, 3540425155, 2273, 3540264908, 24704, 286, 8416, 3540464642, 3540493905, 2000, 3540304448, 3540329863, 102073, 1843, 3540481693, 387, 3540332976, 51351, 25386, 3540502937, 2025, 621, 1019, 73525, 1442, 1433, 3540275202, 3540513448, 7566, 329, 26265, 1062, 1278, 11936, 2443, 26706, 8696, 1510, 3540433113, 6494, 3540332529, 64309, 2727, 260, 782, 271, 33950, 1149, 13287, 8031, 32, 321, 3540261258, 116957, 3540391171, 748, 3540490181, 3540273112, 2282, 80086, 181, 1588, 4814, 3540311214, 127710, 54057]","['heavy metal', 'power metal', 'gothic metal', 'thrash metal']",5
18,osmose productions,active,http://www.osmoseproductions.com,"[3540408227, 12099, 11304, 76382, 3540367010, 3540411163, 3540445572, 3540349670, 2782, 19687, 103313, 3540489227, 48982, 3540298629, 15448, 25880, 3540400385, 14406, 4241, 3540498412, 3540377955, 3540532982, 17646, 11012, 3879, 7202, 3540410311, 3540353492, 11808, 2234, 74901, 3540402493, 344, 11512, 93959, 3540299841, 3540396054, 3540371289, 933, 7544, 3540434838, 3540309791, 4651, 19907, 2824, 905, 3540449228, 3540329680, 7103, 19432, 3540335121, 3540449834, 3540375920, 28407, 3540344063, 3810, 3540439489, 3540311167, 3540341999, 3540317013, 3976, 3540349227, 18701, 3540427908, 3540422528, 80788, 105590, 3540366134, 5063, 3540398051, 3540270383, 70012, 3540257359, 5283]","['death metal', 'black metal', 'thrash metal', 'doom metal']",29
20,indie recordings,active,http://www.indierecordings.no,"[3703, 3540360984, 209, 43309, 367, 3540521380, 1164, 3540431541, 2155, 16715, 3540386038, 29520, 3540365112, 3540494820, 3540404332, 33086, 42420, 3540536983, 3232, 3540271009, 3540344925, 3540265281, 90885, 19975, 3540406296, 31532, 3540334513, 116548, 46538, 3540441101, 17385, 50, 3540319690, 3540337473, 3540316389, 3540426655, 3540397943, 3540415827, 3540305432, 3540377224]",[],10
21,sony music,active,http://www.sonymusic.com/,"[23557, 3302, 113634, 3540404937, 97, 118520, 93943, 195, 268, 3540407450]",[],1
22,candlelight records,active,http://www.candlelightrecords.co.uk/,"[3540420212, 3540290294, 41260, 26229, 3540496925, 3540362882, 119823, 2809, 311, 3540410676, 3540343921, 38762, 7525, 30, 50271, 3309, 3540326803, 3540551751, 60496, 4805, 9002, 3256, 3540510607, 1134, 3540381694, 3540331332, 69343, 3540526610, 3230, 3540290974, 5231, 3540278713, 3540354938, 3540353306, 25805, 2720, 29291, 3540294251, 3540392928, 3540480743, 107837, 3540256541, 3540282310, 24863]","['black metal', 'death metal', 'doom metal', 'thrash metal']",3
23,drakkar productions,active,https://drakkar666.com/,"[32599, 3540455015, 3540301572, 3540487957, 3540432237, 19682, 3540400341, 121339, 3540523720, 3665, 55379, 15175, 3540344950, 974, 89108, 3540479769, 3540502947, 3540449778, 20294, 12703, 3540465119, 3540501321, 3540500916, 3540330135, 3540481826, 16685, 3540359015, 3540547094, 8401, 1174, 3540512311, 10770, 12095, 3540502133, 3540493547, 104405, 3540259536, 3540496161, 5586, 3540312587, 3540303011, 39230, 3540400401, 3540304431, 3540500212, 3540485619, 19107, 3540402228, 3540514847, 3540449074, 11844, 7102, 18493, 3540520575, 3540445534, 26257, 18107, 3540448358, 3540351527, 3540473079, 3540524096, 3540472580, 3540351564, 3540534774, 3540491588, 3540328280, 71251, 3540518948, 3540542802, 65838, 3540403238, 3540477450, 3540351122, 59943, 948, 3540316221, 3540431994, 3540374837, 3540423096, 128517, 22952]",['black metal'],29
24,season of mist,active,http://www.season-of-mist.com/,"[231, 5575, 3540404950, 27821, 497, 3540392807, 3540359168, 3540326229, 3540390787, 3752, 3540316039, 3540264749, 50437, 3540515898, 3540375952, 97469, 241, 84344, 28907, 3540392965, 4263, 17, 91, 13746, 5250, 3540386003, 11052, 2216, 3540416599, 3540275159, 223, 3540364841, 3540427550, 3540377013, 5845, 1153, 353, 3540350575, 5245, 3540402152, 44108, 15277, 3438, 3540454158, 3540418247, 3540396389, 1124, 103, 3540456598, 131, 3540274876, 3540525067, 112466, 3540301705, 3540424558, 65960, 3540344568, 3540408371, 3540526138, 2845, 3540433323, 56051, 2210, 3540350534, 19861, 2430, 6469, 3540378150, 4538, 126521, 3540439362, 1430, 3540309389, 961, 11288, 91913, 3540447967, 1410, 3540356029, 1050, 3540464857, 3540461584, 3540389208, 95347, 3540488598, 3540438000, 3540465313, 5161, 3540340232, 3540347460, 16491, 1040, 3540357815, 3540469483, 2175, 3540353036, 3540361855, 3540354685, 2927, 314]","['black metal', 'death metal', 'gothic metal', 'progressive metal']",29
25,metal mind productions,active,http://metalmind.com.pl/,"[5627, 9938, 2546, 3540489625, 3540496286, 10315, 2160, 1919, 3540439508, 3540365428, 8617, 3536, 3540347644, 2624]","['heavy metal', 'progressive metal', 'rock with doom metal']",13
28,vertigo records,active,http://www.vertigorecords.co.uk/,"[15424, 33323]","['heavy metal', 'rock with doom metal']",3
29,peaceville records,active,http://www.peaceville.com/,"[2707, 285, 3540499539, 695, 3540542408, 146, 25796, 1424, 3540552504, 1018, 28291, 3540372067, 3540394369, 3540372524, 3074, 27518, 735, 4883, 1185, 1703, 3540522806, 51, 3540505282, 3540379447, 3540538876, 33164]",[],3
30,cd-maximum,active,http://www.cd-maximum.ru/,"[3540328850, 50920, 3540373348, 84110, 15171, 99328, 3540256075, 60178, 3174, 125508, 21452, 80822, 3540339405, 65496, 3540334365, 3540452586, 46185, 1188, 37524, 127493, 105237, 40544, 3540399490]",[],14
31,insideout music,active,http://www.insideoutmusic.com/,"[3540346143, 3540345103, 3540339155, 3540507973, 7367, 6680, 9373, 37, 30409, 3540289264, 33750, 100172, 3540270852, 3540346184, 31307, 3540311693, 21894, 106322, 389, 1239, 6479, 3540398492, 1504, 7950, 547, 3267, 881, 16437, 38283, 1411, 118264, 13, 2277, 3540394088, 88087, 3540387190, 5503, 3540433041, 3540541600]","['death metal with progressive rock influences', 'metal']",5
34,mausoleum records,closed,http://www.music-avenue.net/mausoleum/,"[4109, 1829, 15266, 15673, 129048, 3469, 3540335811, 3540396611, 13081, 3565]","['heavy metal', 'speed metal', 'thrash metal', 'progressive metal', 'death metal']",24
35,universal music group,active,http://www.universalmusic.com/,"[39454, 15287, 88849, 24223, 3540309529]",['rock with doom metal'],1
36,sevared records,active,https://store.sevared.com/,"[3540265196, 20841, 38227, 2850, 3540313036, 26508, 3540447282, 3540335513, 3540501654, 3540347170, 3540455472, 3540375739, 3540420749, 3540281689, 3540547474, 84445, 3540451468, 10900, 4337, 1255, 3540269506, 3540261669, 3540318943, 115145, 3540438017, 74550, 65176, 81862, 3540289678, 25294, 1146, 69417, 47632, 3540495188, 3540296460, 3540510161, 2219, 3540475660, 3540339897, 3540261668, 97186, 86245, 99968, 3540307820, 3540472438, 3540273484, 16551, 3540519558, 34700, 3540324631, 3540429723, 3540303499, 3540311396, 24945, 3540477082, 108091, 3540356552, 21988, 3540439750, 1947, 3540377365, 3540258620, 3540403848, 118430, 127023, 7264, 66202, 34938, 32573, 3540373140, 3540336266, 102535, 3540397575, 3540420025, 48609, 4433, 3540393150, 3540261560, 3540339869, 3540275346, 56844]",['brutal death metal'],1
38,black mark production,closed,nan,[3540379622],"['power metal', 'heavy metal', 'progressive metal', 'gothic metal']",15
39,no colours records,active,http://www.no-colours-records.de/,"[3540478633, 390, 3540311269, 71681, 71813, 81259, 69376, 6904]",['black metal'],5
40,brennus music,active,http://www.brennus-music.com/,"[3540412668, 70993, 35707, 19760, 13915, 3540329944, 3540365698, 86294, 3540276443, 79907, 2537, 2538, 45309, 2034, 128649, 3540371694, 3432, 95093, 3540325288, 3540326578, 3540419343, 125909, 3540500479, 3540323326, 19004, 34273, 14078, 17785, 3540430865, 7008, 67062, 3540285156, 14905, 45374, 94662, 124675, 78742, 3540481789, 19178, 33347, 3540458745, 13457, 3540260384, 3540285754, 3540369301, 42610, 3540282324, 106150]","['heavy metal', 'thrash metal', 'speed metal', 'power metal', 'doom metal']",29
41,hammerheart records,active,http://www.hammerheart.com/,"[2826, 3540282196, 3540553181, 19625, 21823, 3059, 3540406971, 420, 3540333269, 684, 3540328238, 2104, 3540473984, 1154, 3540534650, 5459, 3540318066, 3540447294, 699, 3540272381, 3540285750, 19273, 3540414019, 3540402517, 3540477147, 136, 10858, 3540498855, 33467, 3540544807, 3540431560, 3540426217, 2252, 1052, 4280, 12311, 13707, 3540505945, 5499, 3540453832, 2682, 3540506369, 3540381511, 3540503179, 456, 9512, 2843, 4708, 10913, 3137, 27800, 3540505661, 11093, 3540370695, 3540512817, 3540407923, 393, 3540517859, 3540491243, 227, 3540516678]","['heavy metal', 'thrash metal', 'power metal', 'death metal', 'folk metal', 'black metal']",41
43,locomotive records,closed,https://myspace.com/43rdparallel,"[590, 78642, 47079, 457]",['heavy metal with hard rock'],4
44,hells headbangers records,active,http://shop-hellsheadbangers.com/,"[1900, 3540369213, 3540265808, 935, 4387, 3540329514, 4239, 3540295676, 509, 3540321826, 46559, 3540392708, 48110, 3540285523, 104365, 3540268897, 3540375527, 3540260349, 3540343254, 4296, 3540353186, 26558, 12281, 57061, 1392, 39179, 3540274358, 1954, 3540544099, 2999, 7188, 3540403045, 3540316697, 104596, 32408, 3540328375, 5699, 27258, 3540378934, 3540447610, 3540378177, 3540383550, 3540347837, 3540401444, 4250, 3540421352, 3540351282, 3540413876, 3540495162, 83003, 3540318928, 3540431571, 9695, 12092, 3540282482, 3540525104, 3540377749, 3540354733, 3540262317, 3540451433, 3540396500, 592, 24025, 453, 3540309665, 3540298075, 3540269833, 3540492908, 3540367404, 3540347778, 93437, 3540390007, 3540292339, 3540469828, 3540351359, 77842, 3540486568, 16707, 3540329016, 95076, 3540305478, 7771, 43903, 33265, 3540429907, 3540514394, 11568, 3540336250, 6951, 3540311625, 3540340940, 934]","['black metal', 'death metal', 'thrash metal', 'speed metal']",1
45,cogumelo records,active,http://www.cogumelo.com/,"[8934, 23957, 2091, 8005, 17147, 6909, 2071, 11603, 3540418435, 52395, 19636, 26403, 13228, 740, 248, 82416, 2250, 3540318979, 2072, 2123, 2124, 3540350447, 2330]","['black metal', 'death metal', 'thrash metal']",23
47,columbia records,active,http://www.columbiarecords.com/,"[3540281434, 3540272417]",['doom metal with various influences'],1
48,neat records,closed,nan,"[644, 30554, 43232]","['heavy metal', 'nwobhm']",3
49,regain records,active,http://www.regainrecords.se,"[3540486001, 6015, 3540415137, 71159, 3540400795, 3540273441, 3540382563, 19958, 3540476938, 4405, 14466, 5509, 3540465493, 3663, 3540450657]","['black metal', 'death metal']",15
50,avispa records,active,http://www.avispamusic.com/,"[11340, 42429, 30605, 70253, 3540453087, 1271, 3540526648, 3540393625, 3540326436]",['heavy metal'],4
52,depressive illusions records,active,https://depressiveillusions.com/,"[3540404191, 3540410502, 3540385708, 3540379998, 3540385658, 3540415421, 3540419373, 3540388843, 3540386292, 3540348026, 3540312350, 3540418603, 3540360497, 3540421771, 3540294662, 3540384046, 3540351264, 3540385655, 3540549915, 117224, 3540334883, 3540432141, 3540402583, 3540543627, 14079, 3540335355, 3540320802, 3540420578, 3540449541, 3540515687, 3540432043, 3540449895, 3540375713, 3540454721, 3540394755, 3540433688, 3540439623, 3540418857, 3540547865, 3540303095, 3540319774, 3540409189, 3540346753, 3540462559, 3540333080, 3540393176, 3540405088, 3540319094, 3540319021, 3540453740, 3540446575, 3540468078, 3540336888, 3540333081, 3540410704, 3540353113, 3540419128, 3540414227, 3540352657, 3540362224, 116402, 3540466612, 3540418732, 3540411216, 3540419363, 3540404543, 3540404339, 3540333555, 3540368441, 3540378645, 3540395211, 3540435931, 3540375586, 3540347575, 3540367193, 3540390965, 3540357127, 3540475057, 3540382278, 3540429289, 3540355919, 3540422630, 3540536942, 3540337040, 3540453153, 3540343124, 3540343041, 3540517871, 3540366384, 3540423103, 52218, 3540422457, 3540472668, 3540369978, 3540384794, 3540417456, 3540491930, 3540479238, 3540341824, 3540334225]","['black metal', 'power metal with dark ambient influences', 'dungeon synth', 'doom metal', 'death metal', 'drone metal', 'experimental metal']",74
53,sanctuary records,active,https://myspace.com/53hcrecords,[3540258198],"['heavy metal with hard rock', 'nwobhm', 'heavy metal', 'power metal', 'electronic metal', 'hip-hop']",3
54,adipocere records,active,https://adipocere-shop.com/site/index.php,"[3540264962, 13973, 9005, 43545]","['black metal', 'death metal', 'pagan metal', 'viking metal']",29
55,nuclear war now! productions,active,http://www.nwnprod.com,"[87165, 1282, 3540480020, 3540332760, 95917, 3540331489, 3540285786, 3540551609, 10670, 18997, 1141, 2752, 3540318061, 3540484933, 3540440522, 3540419682, 8118, 3540489972, 17775, 3540418136, 3540327904, 70207, 11679, 26782, 3540259537, 3540357220, 17698, 1336, 82141, 3540396716, 3540307898, 3540448418, 3540500182, 4662, 3540386754, 5685, 3540383218, 3540362487, 3540545199, 19470, 932, 89057, 3540481608, 3540424163, 9156, 3540437034, 21557, 3540398833, 3540510817, 3540409899, 3540419375, 73657, 3540458154, 3540503299, 3540514639, 11721, 3540402584, 3540509031, 3540267642, 3540415786, 85160, 3540468628, 11096, 3540436259, 3540422393, 3540468953, 3540421478, 3540366462, 3540407383, 2942, 83930, 59377, 19622, 3540508357, 3540400570, 3540514217, 26599, 6682, 3540478936, 3540453287, 3540523759, 46418, 3540477908, 3540447327, 3540372219, 10187, 3540281226, 4232, 3540454450]","['black metal', 'death metal', 'thrash metal']",1
58,twilight,closed,nan,"[54375, 32262, 47843, 8717, 4855, 25941, 8468, 23875, 80807, 100682, 71496, 72851, 15302, 3540331984]",['extreme metal'],5
59,southern lord recordings,active,http://www.southernlord.com/,"[124842, 3540412292, 127715, 3540404476, 3540278794, 97394, 3540426290, 3540334632, 3540287290, 2057, 3540420235, 3540490831, 27264, 3540455084, 14868, 3540300766, 9712, 128920, 3540309358, 105675, 3540480086, 612, 2895, 1286, 3540315563, 650, 14484, 7416, 3540391580]","['black metal', 'drone metal', 'doom metal', 'sludge metal', 'death metal with hardcore']",1
60,agonia records,active,https://www.agoniarecords.com,"[73633, 41, 3540291245, 922, 3540431832, 2151, 5819, 304, 7171, 328, 19586, 95627, 3540352645, 72977, 22016, 1036, 93109, 3540360273, 3540457174, 3540432469, 5037, 10773, 3540343083, 34256, 62026, 13718, 10433, 19074, 7489, 6665, 71857, 91924, 3540401559, 3540499246, 281, 15692, 3540347089, 2337, 78281, 14073, 238, 3540494318, 2143, 601, 889, 2663, 9607, 3540483750, 18228, 790, 4931, 3540318708, 122076, 3540307155, 42836, 3540302584, 1295, 123827, 4838, 3540329053, 3540331156, 9898, 4287, 956]","['black metal', 'death metal']",13
61,christhunt productions,active,http://www.christhuntproductions.com/,"[16675, 126199, 28741, 3540545475, 34540, 3540414165, 3540349397, 3540450949, 3540386835, 6231, 49346, 9458, 45166, 42662, 60882, 46294, 3540408120, 3540259458, 110630, 6405]",['black metal'],5
62,frontiers records,active,http://www.frontiers.it/,"[3540544267, 3540513479, 3540498843, 3540464514, 5929, 3540494724, 3540463680, 3540552855, 3540459640, 116964, 56187, 3540494628, 3540340589, 3540505940, 16778, 3540449483, 3540487157, 3540286624, 3540490243, 3540398481, 32715, 3540552656, 3540287644, 3540486852, 10013, 124784, 575, 3540433184, 1419, 3540444464, 3540480387, 3540455509, 98248, 3540513056, 3540420046, 3540480345, 3540456328, 3540512828, 3540443546, 3540484385, 124292, 3540320601, 3540339571, 74936, 3540391645, 3540486739, 3540453930, 320, 3540486359, 3103, 3540505936, 8414, 1620, 3540325894, 1068, 32822, 3540259447, 3540491262, 3540391368, 73597, 3540492785, 3540269368, 3540380932, 3540512231, 3540365065, 3540512214, 1682, 3540502943, 22652, 3540326269, 110430, 3540502086, 3540510969, 3540413678, 3540304527, 3540401232, 3540406429, 43756, 987, 3540435198, 3540464182, 1197, 1449, 1709, 3540441669, 3540406416, 6964, 3540393993, 3540495034, 3540530873, 3540510501, 3540457943, 3540429071, 3540322691, 3540355019, 3540486330, 3540477897, 1069, 3540259431, 3540385624]","['heavy metal', 'power metal', 'progressive metal', 'melodic hard rock']",12
63,hellion records,active,http://www.hellionrecords.de,"[1448, 87893, 3540372816, 1491, 6550, 14512, 3540299638, 2691, 3540321298, 2189]","['heavy metal', 'progressive metal', 'gothic metal', 'doom metal', 'thrash metal', 'speed metal', 'death metal']",5
64,listenable records,active,https://www.listenable.eu/,"[123, 3540298149, 2171, 3540399067, 3540463056, 3540309042, 18844, 109234, 3540328550, 3540424170, 3540499114, 3540380343, 3540336895, 33867, 3540444650, 3540449101, 3840, 3540462251, 3540500313, 3540320602, 3540429440, 3540522764, 110213, 1284, 11751, 3583, 28283, 21177, 3540403525, 2756, 944, 3540407603, 9131, 71207, 3540280456, 8192, 50926, 3540409302, 4285, 3540371669, 21041, 3540448691, 3540396015, 107930, 84278, 5163, 87840, 58, 3540416913, 7175, 293, 178, 3540421720, 3540284217, 4776, 14195, 87, 746, 3540382448, 40208]","['black metal', 'death metal', 'thrash metal']",29
65,moribund records,active,http://www.moribundcult.com/,"[3540440316, 3540506323, 85290, 40697, 20569, 3540340544, 53053, 3253, 3540465378, 3540332981, 9081, 3540543653, 11766, 3540258614, 6563, 57625, 119071, 19932, 3540303077, 34890, 75502, 30704, 3540471310, 3540401472, 3540294007, 3540388659, 10461, 87192, 122605, 3540327185, 85746, 3540295108, 3540315907, 3540327737, 3540340917, 25674, 3540371609, 3540321752, 85076, 1460, 467, 10439, 3540409781, 3540501143, 106080, 18606, 3540325927]","['black metal', 'death metal']",1
66,holy records,active,http://www.holyrecords.com/,"[9020, 39963, 40935, 15280, 710, 9785]","['atmospheric metal', 'doom metal', 'symphonic metal']",29
68,underground symphony,active,http://www.undergroundsymphony.it/,"[1580, 3540474643, 86627, 21961, 3540424444, 3540401176, 3540404806, 3540452725, 3540424976, 3540321811, 3400, 3540469556, 4600, 3540357368, 3540542752, 3540478405, 3540255361, 25053, 108750, 12242, 120980, 3540403505, 21400, 58393, 3540265686, 3540384193, 3540446802, 2594, 31277, 3540264281, 3540404637, 3540384432, 3540399987, 3540540729, 3540427796, 3540332100, 3540403576, 3540319780, 3540454118, 36006, 3540455420, 3540323601, 1618, 79874, 28205, 94233, 8652, 73705, 2625, 2835]","['power metal', 'progressive metal']",12
70,hammer records,changed name,http://hammerworld.hu/,"[20628, 46112, 3540304172, 2462, 123254, 3540370088, 46183, 44276, 44339, 53520, 1884, 3540290727, 47085, 24971, 1807, 108276, 6142, 3540288801, 23202, 1844, 1234, 75394, 3540466312, 3540465639, 28550, 12491, 3540370192]",[],37
71,leviathan records,active,http://www.leviathanrecords.com,"[104690, 23918, 34852]","['power metal', 'progressive metal', 'neoclassical metal', 'shred metal']",1
72,wulfrune worxxx,closed,nan,[3540441277],['black metal'],29
73,ccp records,active,http://www.ccprecords.com/,"[10872, 34621, 5954, 5280, 3540316432, 81398, 3452, 5225, 3540415609, 3540295160]","['black metal', 'viking metal', 'pagan metal']",30
74,black lotus records,closed,http://www.black-lotus-recs.com/,"[58806, 113512]","['extreme metal', 'gothic metal']",19
